1	1.2345		4.321
2	2.341		2.134
3	8.69		5.723
4	97.39		2.349
5	23.487		8.932
6	2.344		0.944
7	24.2134		89.764
8	2.3434		34.524
9	23.4786		32.574
10	23.4154		6.757435
11	6.72344		93.2487
12	2.37478		90.845
13	26.354		6.75784
14	0.94823		54.213
15	8.73264		3.248956
16	12.456		896.75
17	23.45		8.9908
18	2.345		8.9755
19	32.35		87.6
20	67.52		9.875
21	1.2345		4.321
22	2.341		2.134
23	8.69		5.723
24	97.39		2.349
25	23.487		8.932
26	2.344		0.944
27	24.2134		89.764
28	2.3434		34.524
29	23.4786		32.574
30	23.4154		6.757435
31	6.72344		93.2487
32	2.37478		90.845
33	26.354		6.75784
34	0.94823		54.213
35	8.73264		3.248956
36	12.456		896.75
37	23.45		8.9908
38	2.345		8.9755
39	32.35		87.6
40	67.52		9.875
41	1.2345		4.321
42	2.341		2.134
43	8.69		5.723
44	97.39		2.349
45	23.487		8.932
46	2.344		0.944
47	24.2134		89.764
48	2.3434		34.524
49	23.4786		32.574
50	23.4154		6.757435
51	6.72344		93.2487
52	2.37478		90.845
53	26.354		6.75784
54	0.94823		54.213
55	8.73264		3.248956
56	12.456		896.75
57	23.45		8.9908
58	2.345		8.9755
59	32.35		87.6
60	67.52		9.875
61	1.2345		4.321
62	2.341		2.134
63	8.69		5.723
64	97.39		2.349
65	23.487		8.932
66	2.344		0.944
67	24.2134		89.764
68	2.3434		34.524
69	23.4786		32.574
70	23.4154		6.757435
